id,template,slipsense,mappedscale,faultage,sliprate,sentence
1,known_age,normal,"1:10,000","<15,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of <0.2 mm/yr."
2,known_age,normal,"1:10,000","<15,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 0.2 - 1 mm/yr."
3,known_age,normal,"1:10,000","<15,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of 1 - 5 mm/yr."
4,known_age,normal,"1:10,000","<15,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of unspecified."
5,known_age,normal,"1:10,000","<15,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of Undetermined."
6,known_age,normal,"1:10,000","<15,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <15,000 years and has a slip rate of >5 mm/yr."
7,known_age,normal,"1:10,000","<2,600,000",<0.2 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of <0.2 mm/yr."
8,known_age,normal,"1:10,000","<2,600,000",0.2 - 1 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 0.2 - 1 mm/yr."
9,known_age,normal,"1:10,000","<2,600,000",1 - 5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of 1 - 5 mm/yr."
10,known_age,normal,"1:10,000","<2,600,000",unspecified,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of unspecified."
11,known_age,normal,"1:10,000","<2,600,000",Undetermined,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of Undetermined."
12,known_age,normal,"1:10,000","<2,600,000",>5 mm/yr,"{faultZone} {faultName} {sectionName} {strandName} is a normal fault that was mapped at 1:10,000 scale. Geologic studies have determined that the fault has had movement in the last <2,600,000 years and has a slip rate of >5 mm/yr."
